Record ID,Business Name,CEO,Founded Year,Headquarters,Annual Growth (%),Market Value ($M),Public/Private,Main Product,Website
217,"Stewart, Smith and Carr",Nicole Olsen,1960,"Lake Marybury, United States Virgin Islands",17.46,18.25,Private,Hardware,http://fisher.com/
218,"Harvey, Callahan and Murray",Ralph Williams,1987,"South Charlesberg, Germany",-0.96,490.96,Public,Consulting,https://www.gill.info/
219,Mcgrath Ltd,David Wade,1975,"Port Katherine, Central African Republic",17.93,166.88,Public,Service,https://www.lopez.org/
220,"Mendez, Novak and Bush",Michael Herman,1990,"Williamsville, Cape Verde",17.45,186.8,Private,Product,http://herrera.org/
221,"Perez, Wilson and Duarte",Christopher Olsen,1968,"South Valerie, Suriname",6.75,224.52,Private,Product,https://www.gray.com/
222,"Clark, Parker and Mendez",Hannah Shannon,2013,"Brianside, Bangladesh",19.63,305.51,Private,Service,http://juarez.info/
223,"Duran, Mack and Smith",Heather Hernandez,1989,"Dianemouth, France",11.21,431.23,Public,Service,https://www.green.com/
224,"Roth, Jackson and Miller",Michelle Brown,2011,"Contrerasborough, Serbia",19.51,317.24,Public,Hardware,http://www.morgan.biz/
225,Davis Ltd,Brian Stewart,1981,"North Brittney, United States of America",-4,222.76,Public,Product,http://cochran-nicholson.biz/
226,Brooks LLC,Joshua Sweeney,2005,"Dustinstad, Lebanon",18.15,419.78,Public,Product,https://ramirez.net/
227,Garrett LLC,Michelle Jacobs,1993,"East Matthewfurt, Uzbekistan",7.38,347.2,Private,Hardware,http://www.warren-williams.com/
228,West-Davis,Ethan Meyer,1957,"Stephanieshire, Bahrain",17.71,401.22,Private,Service,https://www.henderson.org/
229,Smith and Sons,Vanessa Thornton,2022,"Williamburgh, Dominican Republic",-3.88,225.48,Private,Consulting,http://www.donovan.net/
230,"Petty, Harris and Watts",Veronica Williams,1986,"East Robert, French Guiana",5.31,324.66,Private,Consulting,http://www.ford.com/
231,Nicholson-Ferguson,Pamela Rowe,2012,"South Vanessa, Estonia",-0.29,222.35,Private,Software,https://gibson-moore.info/
232,"Parks, Mendoza and Chavez",Stacy Bond,1973,"North Danielfurt, San Marino",18.27,239.71,Public,Service,http://www.christensen.com/
233,"Trujillo, Smith and Copeland",Kristy Davis,1967,"Lake Dianaland, Kenya",0.37,354.26,Public,Hardware,http://www.gibson.com/
234,Castro-Barnes,Wesley Lopez,2005,"West Nicholasland, Spain",10.39,71.48,Private,Consulting,https://berry.com/
235,Robinson PLC,Melissa Watson,2021,"Christophermouth, Georgia",15.55,310.68,Private,Product,http://hampton.com/
236,"Perez, Smith and Rodriguez",Thomas Duarte,1969,"Palmerfort, Peru",13.47,490.48,Private,Product,https://www.parks-keith.com/
237,Miller-Byrd,Jared Davis,1956,"Thomashaven, Monaco",18.57,340.82,Public,Service,http://www.duncan-quinn.com/
238,Anderson PLC,Brian Harmon,2009,"North Williamhaven, Lithuania",10.45,172.91,Public,Consulting,http://hunt.com/
239,"Castro, Anderson and Obrien",Lisa Sherman,1984,"Ricemouth, Congo",16.23,173.73,Public,Consulting,http://www.barnes-hendricks.com/
240,Williams and Sons,Michelle Kaiser,1960,"Port Nathaniel, Heard Island and McDonald Islands",-1.4,51.09,Public,Product,https://www.chang.com/
241,Maxwell-Smith,James Price,1999,"South Mercedes, Vanuatu",19.55,310.35,Public,Hardware,http://www.mann.com/
242,"Robinson, Walton and Cruz",Jared Cohen,1964,"Edwardsview, Svalbard & Jan Mayen Islands",10.41,256.45,Public,Consulting,https://marshall-wilson.com/
243,Mcfarland Inc,Jimmy Beck,1967,"Carlosland, Australia",13.9,306.45,Public,Software,http://johnson.com/
244,Owens-Nichols,Shawn Hill,1967,"New Stephanie, Puerto Rico",7.87,16.63,Public,Hardware,http://www.hubbard.org/
245,"Davis, Lopez and Coleman",Eric Davis,1982,"New Sandra, United Arab Emirates",17.43,380.98,Public,Software,http://www.hanson.net/
246,"Lawson, Hernandez and Nelson",Kelly Brown,1976,"New Ericshire, Madagascar",1.31,436.92,Private,Consulting,http://www.robertson.com/
247,"Moore, Chapman and Herring",Kimberly Wilson,1989,"West Vanessa, Turkmenistan",13.53,290.96,Public,Software,https://richard-kelley.com/
248,Delgado PLC,Reginald Fischer,1983,"Port Davidstad, Holy See (Vatican City State)",19.61,371.26,Private,Software,https://www.meyers-orr.info/
249,"Conley, Smith and Contreras",Megan Benton,2019,"South Brian, Singapore",-4.8,487.1,Public,Product,https://www.sherman.biz/
250,"Booker, Warren and Barrett",Matthew Lewis,2022,"Griffithfurt, Ghana",14.04,147.53,Public,Software,http://braun-bailey.org/
251,Bartlett-Gonzalez,Caroline Santiago MD,1986,"Patriciamouth, Cyprus",8.48,314.28,Private,Product,http://johnson-coleman.com/
252,"Frazier, Le and Thompson",Gregory Haley,2007,"West Katherinechester, Reunion",4.3,486.38,Public,Hardware,https://turner.com/
253,"Gutierrez, Bautista and Williams",Jessica Edwards,1964,"Port Katherineborough, Belarus",4.08,358.17,Private,Consulting,https://www.vargas.com/
254,"Henderson, Caldwell and Ayers",Scott Olson,1969,"Trujillochester, Grenada",8.49,440.07,Private,Consulting,http://www.fleming-rodriguez.biz/
255,"Boyer, Williams and Price",Jason Jones,2021,"Janiceborough, Indonesia",5.63,142.94,Private,Product,http://porter-allen.com/
256,Fisher LLC,Sarah Kim,1955,"Harperfort, Nauru",10.23,196.77,Private,Consulting,https://www.fox.com/
257,Bailey-Brown,Leslie Lopez,2007,"New Breannaport, Malta",15.09,211.08,Public,Product,https://www.smith.com/
258,"Lee, Turner and Stephenson",Michael Roach,1998,"Stanleychester, Afghanistan",11.26,292.31,Public,Product,http://www.nguyen-wise.org/
259,Gibson-Jones,Mary Salinas,1971,"Myersshire, Burundi",12.86,70.37,Private,Hardware,https://www.moore.com/
260,"Armstrong, Moyer and Brown",Susan Rodriguez,1965,"East Markhaven, Burundi",16.11,7.06,Public,Hardware,http://valencia.com/
261,Weber Inc,Courtney Jones,1961,"New Erichaven, Niger",13.52,153.23,Private,Software,http://sanders-anderson.com/
262,Bennett-Browning,John Merritt,1969,"East Sarah, Portugal",19.87,447.57,Private,Software,http://benitez-campbell.com/
263,"Meyer, Mclaughlin and Taylor",Juan Wolfe,1965,"South Justinshire, Grenada",2.31,314.48,Public,Software,http://willis.net/
264,Taylor-Jackson,Morgan Wilson,1969,"West Mary, Tonga",0.29,123.26,Public,Software,https://www.smith.com/
265,Nguyen-Carpenter,Melissa Deleon,2002,"Ruizhaven, Singapore",-0.28,260.17,Public,Product,http://bray-benton.com/
266,"Walker, Mack and Silva",Cole Owens MD,1966,"East Darrylchester, Dominica",17.47,334.15,Public,Consulting,http://www.gay.info/
267,Jensen PLC,Mr. Steven Krause,2016,"Port Justin, Uruguay",17.84,80.65,Public,Product,https://www.lewis.com/
268,Dixon-Lyons,Jacob Nichols,1974,"Richardport, Bulgaria",16.43,77.43,Public,Product,http://www.adams.info/
269,Saunders-King,Julian Martinez,2011,"New Seth, Korea",19.72,348.13,Public,Hardware,https://dodson-collins.com/
270,"Sanders, Williams and Gonzales",Tracy Johnson,1970,"Longberg, Korea",11.64,46.64,Public,Service,http://buck-brown.com/
271,Ray-Romero,Billy Riddle,1985,"Gordonfort, Iran",12.53,113.49,Private,Consulting,https://bowen-price.info/
272,Valenzuela Ltd,Virginia Wright,1956,"Veronicafurt, Bangladesh",5.31,287.67,Private,Service,http://scott.com/
273,Barajas-Jones,George Middleton,1950,"North Patriciafurt, Ukraine",6.86,154.4,Public,Service,https://www.davis.com/
274,"Anderson, Reed and Price",Cassandra Williams,2018,"Steeleside, Guernsey",3.93,479.5,Public,Software,http://everett.com/
275,"Haynes, Donovan and Armstrong",Rebekah David,1989,"Port Charles, Guadeloupe",-3.66,218.53,Private,Product,https://www.bell-schneider.com/
276,"Mullins, Jackson and Kelly",Eric French,1985,"Michaelview, Montenegro",0.84,216.6,Private,Consulting,http://www.henry.com/
277,Davis-Woods,Renee Garza,1962,"Gardnerbury, Nauru",-2.43,297.24,Public,Software,http://davidson.net/
278,"Young, Gilbert and Garrett",Melissa Mayer,1969,"East Briannaberg, Belize",3.68,411.17,Public,Product,https://www.roth.com/
279,Moreno-Schwartz,Nicole Mason,1988,"Hamiltonland, Malawi",10.62,189.57,Public,Consulting,http://bell-montes.net/
280,Dickerson-Watson,Robert Hoffman,1953,"West Keithtown, Wallis and Futuna",1.91,271.34,Private,Hardware,https://mckay.com/
281,Harvey LLC,Michelle Knight,1957,"North Leslieton, Guam",16.1,191.03,Public,Software,https://www.hull.biz/
282,"Wagner, Barker and Martin",Cindy Flores,2013,"Abigailport, Moldova",18.23,372.95,Private,Consulting,http://murray-sanchez.com/
283,Martinez LLC,Cody Parker,1996,"South Rhondaborough, Congo",3.19,78.72,Private,Service,http://www.ramirez-macdonald.net/
284,"Smith, Walters and Jackson",Tracy Lewis,1950,"Mcgrathborough, South Georgia and the South Sandwich Islands",9.9,12.08,Private,Hardware,https://www.flores-johnson.biz/
285,Murray-Anderson,Jeremiah Thornton,1958,"Reyesport, Turkey",8.66,81.91,Public,Software,https://www.garcia.com/
286,Davis-Ortiz,Matthew Barnes,1967,"South Laura, Reunion",6.97,443.76,Private,Service,http://www.mullen.com/
287,"Nolan, Smith and Blevins",Whitney Mays,2002,"Wongville, Uruguay",4.55,206.51,Public,Product,https://gonzalez.com/
288,Morales-Carpenter,Mary Roberts,2019,"New Joshuahaven, Syrian Arab Republic",15.53,37.33,Private,Service,http://watkins.com/
289,"Turner, Davis and Hughes",Nicole Soto,1951,"Port Keithchester, Cape Verde",8.06,184.11,Public,Hardware,https://burgess.info/
290,"Murphy, Ryan and Garcia",Jordan Villanueva,1984,"West Elizabethberg, Bhutan",18.09,125.44,Public,Hardware,http://martin.net/
291,Simon Ltd,Peter Cruz,2021,"New Bobbyland, Guatemala",8.11,388.26,Private,Service,https://www.pacheco.net/
292,"Taylor, Adams and Li",Brett Lee,1971,"Lake Angelica, Pitcairn Islands",-4.57,373.82,Public,Product,https://mays.com/
293,"Bauer, Davis and Snow",Sierra Kennedy,1965,"Williammouth, Cyprus",2.24,320.74,Public,Hardware,https://charles.com/
294,Aguirre PLC,Veronica Payne MD,1983,"Lake Sarabury, Peru",2.31,331.99,Public,Hardware,http://moran-phillips.com/
295,Powell Group,Kristine Burton,2016,"Davidfort, Jordan",12.84,60.35,Public,Service,https://www.martinez.com/
296,"Robinson, Saunders and Fox",Nathaniel Norris,1951,"Sextonburgh, Western Sahara",-3.07,368.1,Private,Software,https://www.reed-miller.com/
297,Smith-Hansen,Scott Yates,2002,"Hillfort, Mauritania",9.5,145.05,Private,Service,https://www.williams-jackson.com/
298,"Beck, Scott and Ryan",Luke Duncan,1961,"Lawrenceberg, Taiwan",16.07,134.55,Public,Service,http://payne.com/
299,Nolan-Barajas,Nathan Bender,2016,"South Danielside, Saint Pierre and Miquelon",8.09,291.67,Private,Product,https://www.potts.net/
300,"Robinson, Page and Peterson",Rachael Bell,2001,"North Ronald, Albania",-1.99,28.6,Public,Consulting,https://www.blackwell.com/
