Business Name,CEO,Founded Year,Headquarters,Annual Growth (%),Market Value ($M),Public/Private,Main Product,Website
"Conley, Smith and Contreras",Megan Benton,2019,"South Brian, Singapore",-4.8,487.1,Public,Product,https://www.sherman.biz/
"Booker, Warren and Barrett",Matthew Lewis,2022,"Griffithfurt, Ghana",14.04,147.53,Public,Software,http://braun-bailey.org/
Bartlett-Gonzalez,Caroline Santiago MD,1986,"Patriciamouth, Cyprus",8.48,314.28,Private,Product,http://johnson-coleman.com/
"Frazier, Le and Thompson",Gregory Haley,2007,"West Katherinechester, Reunion",4.3,486.38,Public,Hardware,https://turner.com/
"Gutierrez, Bautista and Williams",Jessica Edwards,1964,"Port Katherineborough, Belarus",4.08,358.17,Private,Consulting,https://www.vargas.com/
"Henderson, Caldwell and Ayers",Scott Olson,1969,"Trujillochester, Grenada",8.49,440.07,Private,Consulting,http://www.fleming-rodriguez.biz/
"Boyer, Williams and Price",Jason Jones,2021,"Janiceborough, Indonesia",5.63,142.94,Private,Product,http://porter-allen.com/
Fisher LLC,Sarah Kim,1955,"Harperfort, Nauru",10.23,196.77,Private,Consulting,https://www.fox.com/
Bailey-Brown,Leslie Lopez,2007,"New Breannaport, Malta",15.09,211.08,Public,Product,https://www.smith.com/
"Lee, Turner and Stephenson",Michael Roach,1998,"Stanleychester, Afghanistan",11.26,292.31,Public,Product,http://www.nguyen-wise.org/
Gibson-Jones,Mary Salinas,1971,"Myersshire, Burundi",12.86,70.37,Private,Hardware,https://www.moore.com/
"Armstrong, Moyer and Brown",Susan Rodriguez,1965,"East Markhaven, Burundi",16.11,7.06,Public,Hardware,http://valencia.com/
Weber Inc,Courtney Jones,1961,"New Erichaven, Niger",13.52,153.23,Private,Software,http://sanders-anderson.com/
Bennett-Browning,John Merritt,1969,"East Sarah, Portugal",19.87,447.57,Private,Software,http://benitez-campbell.com/
"Meyer, Mclaughlin and Taylor",Juan Wolfe,1965,"South Justinshire, Grenada",2.31,314.48,Public,Software,http://willis.net/
Taylor-Jackson,Morgan Wilson,1969,"West Mary, Tonga",0.29,123.26,Public,Software,https://www.smith.com/
Nguyen-Carpenter,Melissa Deleon,2002,"Ruizhaven, Singapore",-0.28,260.17,Public,Product,http://bray-benton.com/
"Walker, Mack and Silva",Cole Owens MD,1966,"East Darrylchester, Dominica",17.47,334.15,Public,Consulting,http://www.gay.info/
Jensen PLC,Mr. Steven Krause,2016,"Port Justin, Uruguay",17.84,80.65,Public,Product,https://www.lewis.com/
Dixon-Lyons,Jacob Nichols,1974,"Richardport, Bulgaria",16.43,77.43,Public,Product,http://www.adams.info/
Saunders-King,Julian Martinez,2011,"New Seth, Korea",19.72,348.13,Public,Hardware,https://dodson-collins.com/
"Sanders, Williams and Gonzales",Tracy Johnson,1970,"Longberg, Korea",11.64,46.64,Public,Service,http://buck-brown.com/
Ray-Romero,Billy Riddle,1985,"Gordonfort, Iran",12.53,113.49,Private,Consulting,https://bowen-price.info/
Valenzuela Ltd,Virginia Wright,1956,"Veronicafurt, Bangladesh",5.31,287.67,Private,Service,http://scott.com/
Barajas-Jones,George Middleton,1950,"North Patriciafurt, Ukraine",6.86,154.4,Public,Service,https://www.davis.com/
"Anderson, Reed and Price",Cassandra Williams,2018,"Steeleside, Guernsey",3.93,479.5,Public,Software,http://everett.com/
"Haynes, Donovan and Armstrong",Rebekah David,1989,"Port Charles, Guadeloupe",-3.66,218.53,Private,Product,https://www.bell-schneider.com/
"Mullins, Jackson and Kelly",Eric French,1985,"Michaelview, Montenegro",0.84,216.6,Private,Consulting,http://www.henry.com/
Davis-Woods,Renee Garza,1962,"Gardnerbury, Nauru",-2.43,297.24,Public,Software,http://davidson.net/
"Young, Gilbert and Garrett",Melissa Mayer,1969,"East Briannaberg, Belize",3.68,411.17,Public,Product,https://www.roth.com/
Moreno-Schwartz,Nicole Mason,1988,"Hamiltonland, Malawi",10.62,189.57,Public,Consulting,http://bell-montes.net/
Dickerson-Watson,Robert Hoffman,1953,"West Keithtown, Wallis and Futuna",1.91,271.34,Private,Hardware,https://mckay.com/
Harvey LLC,Michelle Knight,1957,"North Leslieton, Guam",16.1,191.03,Public,Software,https://www.hull.biz/
"Wagner, Barker and Martin",Cindy Flores,2013,"Abigailport, Moldova",18.23,372.95,Private,Consulting,http://murray-sanchez.com/
Martinez LLC,Cody Parker,1996,"South Rhondaborough, Congo",3.19,78.72,Private,Service,http://www.ramirez-macdonald.net/
"Smith, Walters and Jackson",Tracy Lewis,1950,"Mcgrathborough, South Georgia and the South Sandwich Islands",9.9,12.08,Private,Hardware,https://www.flores-johnson.biz/
Murray-Anderson,Jeremiah Thornton,1958,"Reyesport, Turkey",8.66,81.91,Public,Software,https://www.garcia.com/
Davis-Ortiz,Matthew Barnes,1967,"South Laura, Reunion",6.97,443.76,Private,Service,http://www.mullen.com/
"Nolan, Smith and Blevins",Whitney Mays,2002,"Wongville, Uruguay",4.55,206.51,Public,Product,https://gonzalez.com/
Morales-Carpenter,Mary Roberts,2019,"New Joshuahaven, Syrian Arab Republic",15.53,37.33,Private,Service,http://watkins.com/
"Turner, Davis and Hughes",Nicole Soto,1951,"Port Keithchester, Cape Verde",8.06,184.11,Public,Hardware,https://burgess.info/
"Murphy, Ryan and Garcia",Jordan Villanueva,1984,"West Elizabethberg, Bhutan",18.09,125.44,Public,Hardware,http://martin.net/
Simon Ltd,Peter Cruz,2021,"New Bobbyland, Guatemala",8.11,388.26,Private,Service,https://www.pacheco.net/
"Taylor, Adams and Li",Brett Lee,1971,"Lake Angelica, Pitcairn Islands",-4.57,373.82,Public,Product,https://mays.com/
"Bauer, Davis and Snow",Sierra Kennedy,1965,"Williammouth, Cyprus",2.24,320.74,Public,Hardware,https://charles.com/
Aguirre PLC,Veronica Payne MD,1983,"Lake Sarabury, Peru",2.31,331.99,Public,Hardware,http://moran-phillips.com/
Powell Group,Kristine Burton,2016,"Davidfort, Jordan",12.84,60.35,Public,Service,https://www.martinez.com/
"Robinson, Saunders and Fox",Nathaniel Norris,1951,"Sextonburgh, Western Sahara",-3.07,368.1,Private,Software,https://www.reed-miller.com/
Smith-Hansen,Scott Yates,2002,"Hillfort, Mauritania",9.5,145.05,Private,Service,https://www.williams-jackson.com/
"Beck, Scott and Ryan",Luke Duncan,1961,"Lawrenceberg, Taiwan",16.07,134.55,Public,Service,http://payne.com/
Nolan-Barajas,Nathan Bender,2016,"South Danielside, Saint Pierre and Miquelon",8.09,291.67,Private,Product,https://www.potts.net/
"Robinson, Page and Peterson",Rachael Bell,2001,"North Ronald, Albania",-1.99,28.6,Public,Consulting,https://www.blackwell.com/
